JH05  1
860032 1001 915 'CBY/NWH         SMOOTH V909; 1DEG OPEN  '
860022 0 316 'CBY/RWM         OXROT 6                 '
21 36 0
BLADE 1
12 4 10 316 154
          0     -0.9584    0.0016940633   0.00033792318      0.3013      -1.157
  -0.0089712683       0.2071621
  -0.0008382111      0.21186112
   0.0050039827      0.21655995
   0.0099541582      0.22587404
    0.014594106      0.23211432
    0.019211136        0.235333
    0.027618676        0.237683
     0.02795006      0.23773295
    0.035185996      0.23811813
    0.042384338      0.23745982
    0.047243915      0.23633002
    0.051527314      0.23480237
     0.22587404      0.15409446    0.0099541582
     0.22587457      0.15430401    0.0099545531
     0.22587617      0.15451264    0.0099557415
     0.22587882      0.15472025    0.0099577196
     0.22588255      0.15492658    0.0099604875
     0.22588733      0.15513152    0.0099640414
     0.22589317      0.15533492    0.0099683814
     0.22590005      0.15553658    0.0099734999
     0.22590798      0.15573637    0.0099793971
     0.22591695      0.15593411    0.0099860653
     0.22592695      0.15612964     0.009993501
     0.22593798      0.15632284     0.010001697
     0.22595002      0.15651351     0.010010649
     0.22596306      0.15670153     0.010020345
     0.22597709      0.15688674     0.010030787
     0.22599211        0.157069     0.010041956
     0.22600812      0.15724814     0.010053851
     0.22602507      0.15742406     0.010066461
     0.22604297      0.15759659     0.010079771
     0.22606181       0.1577656     0.010093778
     0.22608157      0.15793094     0.010108467
     0.22610222      0.15809251     0.010123827
     0.22612377       0.1582502     0.010139842
     0.22614618      0.15840381     0.010156509
     0.22616945      0.15855329     0.010173809
     0.22619355      0.15869848     0.010191727
     0.22621845       0.1588393      0.01021025
     0.22624417       0.1589756     0.010229364
     0.22627065      0.15910731     0.010249056
     0.22629789      0.15923433     0.010269307
     0.22632585      0.15935652     0.010290109
     0.22635454      0.15947382     0.010311432
     0.22670481      0.16167651     0.010571871
     0.22709018      0.16401489      0.01085842
     0.22743331      0.16586933     0.011113551
     0.22784269      0.16788952     0.011417946
     0.22831558      0.17008309     0.011769557
     0.22879958      0.17214528     0.012129445
     0.22926252      0.17384982     0.012473654
     0.22970341      0.17522053     0.012801478
     0.23013248      0.17633697     0.013120513
      0.2305605      0.17727937     0.013438765
     0.23099826       0.1781269     0.013764266
     0.23145652      0.17895778     0.014105005
     0.23194331      0.17980735      0.01446696
     0.23236106      0.18070294     0.014948046
     0.23274706       0.1815484     0.015501751
     0.23314282      0.18223903     0.016069448
     0.23354064      0.18270887     0.016640102
     0.23393288      0.18289348     0.017202742
     0.23431529       0.1827697      0.01775129
     0.23468864      0.18237482     0.018286832
     0.23505397      0.18174417     0.018810883
     0.23537017      0.18091998     0.019344131
     0.23553553      0.17998393     0.019935729
     0.23569798         0.17882     0.020516938
     0.23585711      0.17742598     0.021086257
     0.23601177      0.17583717     0.021639558
     0.23616076      0.17409255     0.022172607
     0.23630325       0.1722313     0.022682412
     0.23643892       0.1702939     0.023167774
     0.23656751      0.16831893     0.023627833
     0.23668934      0.16632082     0.024063718
     0.23680517      0.16429442     0.024478087
     0.23691575      0.16223423     0.024873706
